      32	   8	      4096	     0.276 GigaMultsPerSecond
      64	   8	      8192	     0.778 GigaMultsPerSecond
     256	   8	     32768	     0.712 GigaMultsPerSecond
    2048	   8	    262144	     2.031 GigaMultsPerSecond
    8192	   8	   1048576	     2.674 GigaMultsPerSecond
      32	  16	      2048	     0.335 GigaMultsPerSecond
      64	  16	      4096	     0.670 GigaMultsPerSecond
     256	  16	     16384	     0.746 GigaMultsPerSecond
    2048	  16	    131072	     3.215 GigaMultsPerSecond
    8192	  16	    524288	     4.585 GigaMultsPerSecond
      32	  32	      1024	     0.328 GigaMultsPerSecond
      64	  32	      2048	     0.804 GigaMultsPerSecond
     256	  32	      8192	     0.725 GigaMultsPerSecond
    2048	  32	     65536	     4.176 GigaMultsPerSecond
    8192	  32	    262144	     7.545 GigaMultsPerSecond
      32	  64	       512	     0.330 GigaMultsPerSecond
      64	  64	      1024	     0.945 GigaMultsPerSecond
     256	  64	      4096	     0.710 GigaMultsPerSecond
    2048	  64	     32768	     4.667 GigaMultsPerSecond
    8192	  64	    131072	     9.832 GigaMultsPerSecond
      32	 128	       256	     0.381 GigaMultsPerSecond
      64	 128	       512	     0.805 GigaMultsPerSecond
     256	 128	      2048	     0.863 GigaMultsPerSecond
    2048	 128	     16384	     4.537 GigaMultsPerSecond
    8192	 128	     65536	    10.437 GigaMultsPerSecond
      32	 256	       128	     0.353 GigaMultsPerSecond
      64	 256	       256	     0.551 GigaMultsPerSecond
     256	 256	      1024	     0.749 GigaMultsPerSecond
    2048	 256	      8192	     6.109 GigaMultsPerSecond
    8192	 256	     32768	    11.337 GigaMultsPerSecond
      32	 512	        64	     0.379 GigaMultsPerSecond
      64	 512	       128	     0.782 GigaMultsPerSecond
     256	 512	       512	     0.805 GigaMultsPerSecond
    2048	 512	      4096	     5.559 GigaMultsPerSecond
    8192	 512	     16384	    10.269 GigaMultsPerSecond
